cbsa,metro,tier,pop_cagr_pct,permits_per_1000_cagr_pct,rental_vacancy_pct,homeowner_vacancy_pct,rent_growth_3yr_pct,income_growth_3yr_pct,land_cost_per_acre_usd,construction_cost_per_sf_usd,vacancy_collection_loss_pct,operating_expense_per_unit_usd,cap_rate_pct,permit_velocity_index,median_home_price_usd,median_household_income_usd,ami_usd,data_vintage,pop_cagr_pct__source,permits_per_1000_cagr_pct__source,ami_usd__source,rental_vacancy_pct__source,income_growth_3yr_pct__source,median_household_income_usd__source,median_home_price_usd__source,rent_growth_3yr_pct__source,homeowner_vacancy_pct__source,land_cost_per_acre_usd__source,construction_cost_per_sf_usd__source,vacancy_collection_loss_pct__source,operating_expense_per_unit_usd__source,cap_rate_pct__source,permit_velocity_index__source
35620,"New York, NY",superstar_coastal,0.3154648341409739,-1.0615178458549221,3.0126768973925,0.7972664049157892,10.778597714581217,11.649540681220016,1600212.1023090612,345.6084851556227,5.548625874815108,7787.524244168482,4.079383335248417,86.19814409351902,650000.0,92000.0,93073.96396191484,synthetic-2024-estimate,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic
31080,"Los Angeles, CA",superstar_coastal,0.43663808821609407,-1.027615659431368,2.7066948976645624,0.6911820044505342,9.32658470468779,13.844438127589582,2280994.1547603,252.87789944347637,6.598021931593248,10131.711421793025,4.626328533282755,70.85155449366785,880000.0,86000.0,83436.41746160934,synthetic-2024-estimate,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic
16980,"Chicago, IL",midwest_legacy,-0.17714896548875803,1.0546925796423876,5.332041710480091,2.45405887664076,7.956269047513536,8.072095717225746,217385.94711859967,136.89384837660947,7.388057725994053,6928.79584050873,6.753578612124684,39.19879616425685,310000.0,78000.0,78610.36894299998,synthetic-2024-estimate,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic
19100,"Dallas-Fort Worth, TX",sunbelt_growth,1.3696160590046254,4.204251463142166,8.684283017681052,1.0678277088013046,14.06574600287146,12.538089292212135,1397427.7742398637,178.72087006130403,4.911588669257294,7134.289952518522,5.493437190654581,43.39061559210837,370000.0,80000.0,84395.99920934779,synthetic-2024-estimate,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic
26420,"Houston, TX",sunbelt_growth,1.8834909251058698,1.5533566680257367,7.220935283056839,1.169336307465265,14.673573046347258,13.10037725373688,442505.7374280993,193.14239745944272,6.403796715477449,7794.706505432227,5.670152043457336,46.52394594987382,310000.0,74000.0,75944.38082715283,synthetic-2024-estimate,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic
47900,"Washington, DC",superstar_coastal,0.43835939102974864,-2.9319377386978926,5.760075926991173,1.5469192241105425,11.235084956192075,7.773213152820109,3119067.1243503895,294.54542706845524,4.657884909204779,8243.185313661157,4.190830559769086,72.28521251692345,570000.0,115000.0,116892.29224478877,synthetic-2024-estimate,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic
33100,"Miami, FL",sunbelt_growth,2.45676918329933,1.5348477536780936,7.245490107799612,1.4704067554258775,10.513633142342306,14.750674469965256,1025604.5707177381,208.50726333262008,6.4331993209677725,6793.964523240384,5.378230543316465,40.24340417841979,480000.0,68000.0,67812.10902996088,synthetic-2024-estimate,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic
12060,"Atlanta, GA",sunbelt_growth,2.4575509933041717,4.31248880093037,8.298316997558052,1.0298230321100104,13.519925361531227,8.750385331043324,881058.0343842625,172.62088264457867,9.08896498156864,6850.191061489346,5.455441445835105,30.72407273843558,370000.0,78000.0,83824.3949509645,synthetic-2024-estimate,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic
37980,"Philadelphia, PA",mixed_northeast_midatlantic,0.19504047756551218,1.5060924882765239,6.93728142651317,1.6547935583398852,8.402331941560735,10.527699030186142,324801.9798472561,206.50745436258387,6.52618445848422,8076.231656941121,5.801074656292611,49.20458945956136,320000.0,82000.0,88110.91165090035,synthetic-2024-estimate,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic
38060,"Phoenix, AZ",sunbelt_growth,1.43465906192748,2.345033568805906,6.517501140167889,2.1244748209338704,15.033250676610454,12.6983480061658,505608.73305787507,202.60480324014338,6.106623662542625,6704.356506929006,5.048286620365559,29.861118083374052,430000.0,74000.0,78864.5656258419,synthetic-2024-estimate,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic
14460,"Boston, MA",superstar_coastal,0.13180897793287122,-0.3259359127167899,2.1923470394206404,0.6229267562152221,6.6550852972867105,9.918533344348177,2107597.189777961,283.5083789667497,3.788622796381051,9291.984742756546,4.357936965941624,86.66145624948619,650000.0,105000.0,104684.36931581641,synthetic-2024-estimate,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic
40140,"Riverside, CA",sunbelt_growth,2.221447218086916,-0.007950560484392355,10.011349287714244,1.3340487157457646,13.307471046741671,9.20260267115235,874534.6870534541,206.72648925652163,5.87962784321195,6360.658567119671,5.357371760758411,52.49109332597165,520000.0,78000.0,82544.76766517032,synthetic-2024-estimate,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic
41860,"San Francisco, CA",superstar_coastal,0.44886526109042796,-3.0775935974609983,3.6911969032091427,0.7755343664004594,6.49167492479206,10.553651200097779,2536746.052521311,274.04850109393857,5.295439620884266,10405.732581000297,4.3090195860382785,88.07654256094928,1100000.0,130000.0,132047.71492642252,synthetic-2024-estimate,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic
19820,"Detroit, MI",midwest_legacy,0.15245231089544914,0.11077876136783948,3.1915841770920377,1.3638347336641963,6.673080084131504,10.396730079256361,348960.6336177975,134.92320690408732,7.426186223495735,6374.701170813458,5.888159491981298,36.580927410824295,230000.0,65000.0,63120.83948491354,synthetic-2024-estimate,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic
42660,"Seattle, WA",superstar_coastal,0.33387203971283685,-2.1988097453091076,3.0710374222773615,0.43690273207391606,9.608592562686963,11.173214355247655,1874783.7348100608,292.6346325258557,4.9473621934963585,9682.96835396328,4.62362585635942,71.96649134467972,650000.0,105000.0,109013.35410279872,synthetic-2024-estimate,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic
33460,"Minneapolis, MN",midwest_legacy,-0.006096627388605863,-0.09729653624579293,8.860687182871523,1.4517754615643947,8.158037019916009,7.181166990008132,267037.5307623287,154.6524222092602,7.942949206925896,6145.861880855668,6.064661293522127,27.042928574964193,350000.0,90000.0,91960.87386077168,synthetic-2024-estimate,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic
45300,"Tampa, FL",sunbelt_growth,2.24776715879656,4.3089545535924145,7.953427144829562,1.298011173218855,13.288498312154834,12.812304889340414,525460.2075815424,164.950826033835,4.93960757862906,7570.277806989099,5.789329032329024,67.94416347045167,370000.0,66000.0,70772.24802522574,synthetic-2024-estimate,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic
41740,"San Diego, CA",superstar_coastal,-0.010528176845454096,-4.834857013074288,2.476569395701338,0.8669740563555349,8.946782652769665,13.515895582876453,3186732.799216752,290.25450385309136,5.041698203185903,11373.960844514562,4.3286276522411695,87.68216131158424,850000.0,92000.0,97631.88750051265,synthetic-2024-estimate,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic
